Date,GHI,DNI,DHI,T_amb,RH,WS,WS_gst,WD,WD_st_dev,BP
2015-05-21,12.0,21.678571428571427,10.642857142857142,27.782142857142855,60.75,3.0785714285714287,5.0928571428571425,169.35714285714286,19.514285714285712,1003.0
2015-05-22,197.34257975034674,4.55617198335645,195.62829403606102,25.573092926490986,81.96116504854369,2.878640776699029,4.4345353675450765,182.26490984743413,18.77128987517337,1004.3079056865465
2015-05-23,335.0802213001383,214.99170124481327,196.34993084370677,27.391424619640386,70.984785615491,3.848686030428769,5.998616874135546,184.31811894882435,19.58893499308437,1003.2448132780083
2015-05-24,273.9240331491713,165.58287292817678,174.08701657458565,26.977486187845304,75.86049723756906,3.255524861878453,5.0295580110497236,180.1878453038674,18.434806629834252,1002.8466850828729
2015-05-25,332.1080332409972,218.48891966759004,198.58171745152356,27.67437673130194,70.20914127423822,2.8857340720221605,4.428531855955679,176.68282548476455,19.31163434903047,1002.5526315789474
2015-05-26,429.1288088642659,401.07894736842104,172.80193905817174,28.220360110803323,68.17728531855956,2.7224376731301936,4.31786703601108,184.18282548476455,19.76481994459834,1002.3448753462604
2015-05-27,328.1847222222222,224.53194444444443,183.69027777777777,28.106666666666666,69.5125,2.4522222222222223,3.7547222222222225,173.51527777777778,19.367916666666666,1002.6819444444444
2015-05-28,223.0,58.14881780250348,178.8567454798331,27.047148817802505,77.28511821974965,2.6899860917941583,4.047009735744089,189.68289290681503,17.590125173852574,1001.9986091794159
2015-05-29,173.37745740498033,22.43381389252949,159.33420707732634,24.96015727391874,85.5819134993447,2.410091743119266,3.6711664482306685,176.67889908256882,16.47391874180865,1001.5334207077326
2015-05-30,335.88504155124656,234.66204986149583,195.7590027700831,27.534072022160665,72.76038781163435,3.238919667590028,4.969806094182826,181.35872576177286,18.405263157894737,1001.9252077562327
2015-05-31,200.68121212121213,78.89212121212121,162.60242424242423,25.24206060606061,84.52242424242424,2.916,4.364727272727273,164.5090909090909,16.801939393939396,1001.2642424242424
2015-06-01,289.1988873435327,226.2364394993046,158.64394993045897,25.991933240611964,78.14742698191934,2.5613351877607786,3.9054242002781643,176.21418636995827,17.156745479833102,1000.9165507649514
2015-06-02,417.2853185595568,459.49861495844874,130.29362880886427,27.735457063711912,67.78670360110803,2.3488919667590027,3.654432132963989,190.38919667590028,19.15831024930748,1001.617198335645
2015-06-03,436.0805555555556,0.030555555555555555,436.05833333333334,27.77986111111111,67.875,3.085,4.813888888888889,177.3361111111111,20.37625,1000.8916666666667
2015-06-04,359.38227146814404,0.04016620498614958,359.10526315789474,27.511634349030473,69.22991689750693,1.9430747922437674,3.091689750692521,176.45706371191136,19.30803324099723,1000.117728531856
2015-06-05,317.07073509015254,0.04160887656033287,317.16782246879336,27.43814147018031,73.9375866851595,1.9076282940360612,3.036338418862691,116.7877947295423,20.063938973647712,999.6560332871012
2015-06-06,493.2348066298343,0.0013812154696132596,493.64502762430936,28.676381215469615,60.87845303867403,3.6709944751381216,5.601243093922652,190.69060773480663,18.76754143646409,1001.0828729281768
2015-06-07,348.4347222222222,0.2875,348.5472222222222,26.15458333333333,69.35694444444445,3.484861111111111,5.28625,186.23472222222222,18.29361111111111,1002.6930555555556
2015-06-08,447.28867403314916,0.0649171270718232,448.1629834254144,26.91988950276243,65.92955801104972,3.8741712707182323,6.0168508287292815,183.48618784530387,19.845165745856352,1002.9958563535912
2015-06-09,385.43036211699166,0.057103064066852366,385.8635097493036,26.797771587743732,63.976323119777156,3.2006963788300835,4.932033426183844,196.61699164345404,19.416295264623955,1003.4094707520892
2015-06-10,448.1565096952909,0.012465373961218837,449.48337950138506,27.045152354570636,60.54570637119114,3.326869806094183,5.15831024930748,192.64958448753464,19.968282548476456,1002.8421052631579
2015-06-11,447.4295676429568,0.011157601115760111,448.15202231520226,27.070850767085076,58.89679218967922,3.920781032078103,6.0248256624825665,196.76150627615064,19.131659693165968,1002.3877266387726
2015-06-12,414.33804809052333,348.036775106082,159.24611032531826,26.85700141442716,66.99151343705799,3.573125884016973,5.46039603960396,184.32673267326732,19.224469589816124,1002.9872521246459
2015-06-13,444.44367176634216,500.1696801112656,115.8164116828929,26.726008344923503,58.76077885952712,3.69874826147427,5.7353268428372735,187.15299026425592,19.47635605006954,1003.0180806675938
2015-06-14,509.08472222222224,685.0763888888889,72.94583333333334,27.031388888888888,43.293055555555554,4.284305555555555,6.498611111111111,205.3111111111111,18.330972222222222,1002.5555555555555
2015-06-15,490.4868603042877,625.195020746888,87.33333333333333,26.615076071922545,47.42600276625173,3.9538035961272473,6.155601659751038,183.9405255878285,20.329460580912865,1002.1659751037345
2015-06-16,402.03905160390514,317.06834030683405,182.10320781032078,26.40976290097629,61.14086471408647,3.2573221757322175,5.010320781032078,182.7670850767085,18.965271966527197,1001.9707112970711
2015-06-17,233.00139275766017,83.09331476323119,173.21448467966573,25.931615598885795,74.03203342618384,2.0554317548746517,3.091782729805014,147.84122562674094,16.892061281337046,999.9972144846797
2015-06-18,264.01668984700973,107.03059805285118,189.60639777468705,26.413908205841444,71.37552155771905,1.9966620305980527,3.1289290681502084,155.51599443671768,17.890820584144645,1001.9221140472879
2015-06-19,347.2052704576976,227.13453536754508,195.76699029126215,26.674479889042995,65.28432732316227,3.0973647711511787,4.959778085991678,177.23300970873785,21.42607489597781,1004.500693481276
2015-06-20,365.6146408839779,302.042817679558,173.98480662983425,26.264917127071822,65.18922651933701,4.088397790055248,6.353314917127072,182.96132596685084,19.84295580110497,1005.3453038674033
